DAQch	View	Vchannel	FEMB	FEMBch	ASIC	ASICch	gain	error
253	0	63	2	122	8	10	22.463	0.116
254	1	155	2	121	8	9	22.401	0.132
255	1	154	2	120	8	8	22.135	0.122
256	0	78	3	7	1	7	22.657	0.118
257	1	196	3	6	1	6	22.947	0.084
258	1	197	3	5	1	5	22.968	0.080
259	1	199	3	4	1	4	23.967	0.075
260	1	200	3	3	1	3	22.645	0.079
261	0	81	3	2	1	2	22.435	0.127
262	1	203	3	1	1	1	22.358	0.079
263	0	82	3	0	1	0	21.436	0.129
264	1	192	3	39	3	7	22.061	0.070
265	1	191	3	38	3	6	23.734	0.093
266	0	76	3	37	3	5	23.464	0.116
267	1	188	3	36	3	4	24.379	0.080
268	0	75	3	35	3	3	23.195	0.116
269	1	185	3	34	3	2	22.170	0.079
270	1	184	3	33	3	1	22.823	0.076
271	1	182	3	32	3	0	21.992	0.063
272	1	183	3	15	1	15	23.304	0.077
273	0	74	3	14	1	14	22.365	0.107
274	1	186	3	13	1	13	22.519	0.070
275	1	187	3	12	1	12	22.719	0.066
276	1	189	3	11	1	11	22.836	0.079
277	1	190	3	10	1	10	22.946	0.079
278	0	77	3	9	1	9	22.326	0.114
279	1	193	3	8	1	8	22.016	0.065
280	1	204	3	47	3	15	22.669	0.073
281	1	202	3	46	3	14	23.224	0.077
282	1	201	3	45	3	13	23.536	0.075
283	0	80	3	44	3	12	24.272	0.128
284	1	198	3	43	3	11	23.317	0.098
285	0	79	3	42	3	10	23.763	0.120
286	1	195	3	41	3	9	24.064	0.093
287	1	194	3	40	3	8	22.810	0.062
288	0	69	3	23	2	7	21.944	0.103
289	1	173	3	22	2	6	21.540	0.058
290	0	70	3	21	2	5	21.177	0.105
291	1	176	3	20	2	4	22.489	0.069
292	1	177	3	19	2	3	21.349	0.061
293	1	179	3	18	2	2	21.657	0.063
294	1	180	3	17	2	1	21.334	0.053
295	0	73	3	16	2	0	20.098	0.093
296	0	68	3	55	4	7	21.981	0.105
297	1	168	3	54	4	6	22.870	0.061
298	0	67	3	53	4	5	23.466	0.102
299	1	165	3	52	4	4	22.991	0.076
300	1	164	3	51	4	3	22.405	0.076
301	1	162	3	50	4	2	22.153	0.068
302	1	161	3	49	4	1	22.301	0.081
303	0	64	3	48	4	0	21.424	0.074
304	1	160	3	31	2	15	21.830	0.030
305	0	65	3	30	2	14	21.979	0.077
306	1	163	3	29	2	13	21.686	0.069
307	0	66	3	28	2	12	21.997	0.097
308	1	166	3	27	2	11	22.582	0.071
309	1	167	3	26	2	10	22.465	0.063
310	1	169	3	25	2	9	21.404	0.059
311	1	170	3	24	2	8	21.970	0.058
312	1	181	3	63	4	15	21.746	0.069
313	0	72	3	62	4	14	22.331	0.121
314	1	178	3	61	4	13	23.790	0.087
315	0	71	3	60	4	12	24.694	0.120
316	1	175	3	59	4	11	22.456	0.077
317	1	174	3	58	4	10	23.543	0.073
318	1	172	3	57	4	9	22.964	0.074
319	1	171	3	56	4	8	23.083	0.082
320	1	217	3	71	5	7	22.682	0.080
321	1	219	3	70	5	6	22.209	0.069
322	1	220	3	69	5	5	20.969	0.078
323	0	89	3	68	5	4	21.734	0.124
324	1	223	3	67	5	3	21.296	0.069
325	0	90	3	66	5	2	21.477	0.122
326	1	226	3	65	5	1	20.123	0.075
327	1	227	3	64	5	0	20.794	0.081
328	1	215	3	103	7	7	21.887	0.072
329	1	214	3	102	7	6	21.266	0.081
330	1	212	3	101	7	5	22.050	0.081
331	1	211	3	100	7	4	22.379	0.076
332	0	84	3	99	7	3	21.899	0.129
333	1	208	3	98	7	2	21.574	0.078
334	0	83	3	97	7	1	21.147	0.112
335	1	205	3	96	7	0	21.173	0.071
336	1	206	3	79	5	15	21.365	0.077
337	1	207	3	78	5	14	21.269	0.078
338	1	209	3	77	5	13	23.069	0.079
339	1	210	3	76	5	12	22.447	0.073
340	0	85	3	75	5	11	23.236	0.128
341	1	213	3	74	5	10	22.194	0.077
342	0	86	3	73	5	9	22.314	0.135
343	1	216	3	72	5	8	22.186	0.064
344	0	91	3	111	7	15	21.310	0.135
345	1	225	3	110	7	14	21.449	0.067
346	1	224	3	109	7	13	21.688	0.069
347	1	222	3	108	7	12	21.591	0.071
348	1	221	3	107	7	11	22.076	0.077
349	0	88	3	106	7	10	21.096	0.134
350	1	218	3	105	7	9	22.437	0.083
351	0	87	3	104	7	8	21.516	0.130
352	1	240	3	87	6	7	22.274	0.078
353	0	97	3	86	6	6	22.814	0.149
354	1	243	3	85	6	5	21.926	0.074
355	0	98	3	84	6	4	21.275	0.133
356	1	246	3	83	6	3	22.670	0.077
357	1	247	3	82	6	2	21.928	0.082
358	1	249	3	81	6	1	22.316	0.078
359	1	251	3	80	6	0	19.937	0.060
360	1	238	3	119	8	7	23.677	0.092
361	0	95	3	118	8	6	22.510	0.137
362	1	235	3	117	8	5	24.438	0.081
363	1	234	3	116	8	4	23.959	0.085
364	1	232	3	115	8	3	24.307	0.074
365	1	231	3	114	8	2	23.293	0.082
366	0	92	3	113	8	1	21.878	0.133
367	1	228	3	112	8	0	21.802	0.073
368	1	229	3	95	6	15	23.202	0.084
369	1	230	3	94	6	14	24.141	0.080
370	0	93	3	93	6	13	23.729	0.140
371	1	233	3	92	6	12	23.133	0.077
372	0	94	3	91	6	11	24.518	0.151
373	1	236	3	90	6	10	24.112	0.077
374	1	237	3	89	6	9	23.239	0.088
375	1	239	3	88	6	8	22.093	0.066
376	1	250	3	127	8	15	22.567	0.086
377	1	248	3	126	8	14	24.064	0.081
378	0	99	3	125	8	13	23.353	0.166
379	1	245	3	124	8	12	23.950	0.086
380	1	244	3	123	8	11	23.440	0.091
381	1	242	3	122	8	10	22.719	0.065
382	1	241	3	121	8	9	23.446	0.078
383	0	96	3	120	8	8	22.958	0.145
384	0	114	4	7	1	7	21.152	0.095
385	1	288	4	6	1	6	21.875	0.036
386	1	289	4	5	1	5	21.870	0.046
387	1	291	4	4	1	4	21.785	0.040
388	1	292	4	3	1	3	21.688	0.044
389	0	117	4	2	1	2	20.800	0.085
390	1	294	4	1	1	1	21.614	0.062
391	0	118	4	0	1	0	20.329	0.101
392	1	284	4	39	3	7	24.007	0.046
393	1	283	4	38	3	6	24.628	0.046
394	0	112	4	37	3	5	24.262	0.116
395	1	280	4	36	3	4	25.000	0.042
396	0	111	4	35	3	3	23.955	0.096
397	1	277	4	34	3	2	25.025	0.039
398	1	276	4	33	3	1	24.735	0.043
399	1	274	4	32	3	0	23.488	0.038
400	1	275	4	15	1	15	22.144	0.041
401	0	110	4	14	1	14	22.345	0.093
402	1	278	4	13	1	13	22.807	0.040
403	1	279	4	12	1	12	23.010	0.044
404	1	281	4	11	1	11	22.320	0.037
405	1	282	4	10	1	10	23.311	0.043
406	0	113	4	9	1	9	21.254	0.121
407	1	285	4	8	1	8	22.660	0.044
408	1	296	4	47	3	15	23.507	0.051
409	1	295	4	46	3	14	24.288	0.050
410	1	293	4	45	3	13	21.990	0.038
411	0	116	4	44	3	12	23.441	0.131
412	1	290	4	43	3	11	24.372	0.052
413	0	115	4	42	3	10	22.764	0.112
414	1	287	4	41	3	9	24.402	0.043
415	1	286	4	40	3	8	24.232	0.051
416	0	105	4	23	2	7	22.586	0.091
417	1	265	4	22	2	6	23.694	0.040
418	0	106	4	21	2	5	22.524	0.101
419	1	267	4	20	2	4	23.372	0.043
420	1	269	4	19	2	3	22.661	0.035
421	1	271	4	18	2	2	23.488	0.048
422	1	272	4	17	2	1	22.056	0.028
423	0	109	4	16	2	0	22.033	0.120
424	0	104	4	55	4	7	22.600	0.098
425	1	260	4	54	4	6	23.928	0.037
426	0	103	4	53	4	5	22.819	0.113
427	1	257	4	52	4	4	24.101	0.040
428	1	256	4	51	4	3	23.708	0.031
429	1	254	4	50	4	2	22.454	0.034
430	1	253	4	49	4	1	22.676	0.031
431	0	100	4	48	4	0	21.794	0.085
432	1	252	4	31	2	15	22.786	0.044
433	0	101	4	30	2	14	23.213	0.094
434	1	255	4	29	2	13	23.853	0.042
435	0	102	4	28	2	12	23.140	0.103
